2022-06-17 14:24:15.672 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-06-17 14:24:15.678 [restartedMain] INFO  com.example.SystemJavaApplication - Starting SystemJavaApplication using Java 11.0.12 on LAPTOP-4LBTC9AF with PID 33192 (D:\File\java\admin-template\java-template\target\classes started by wzh in D:\File\java\admin-template\java-template)
2022-06-17 14:24:15.679 [restartedMain] INFO  com.example.SystemJavaApplication - The following 1 profile is active: "dev"
2022-06-17 14:24:15.706 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-06-17 14:24:15.706 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-06-17 14:24:16.884 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-06-17 14:24:16.885 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.31] using APR version [1.7.0].
2022-06-17 14:24:16.885 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
2022-06-17 14:24:16.885 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2022-06-17 14:24:16.895 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1l  24 Aug 2021]
2022-06-17 14:24:16.903 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-06-17 14:24:16.903 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-06-17 14:24:16.903 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
2022-06-17 14:24:16.974 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-06-17 14:24:16.974 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1267 ms
2022-06-17 14:24:17.004 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2022-06-17 14:24:17.111 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2022-06-17 14:24:17.119 [restartedMain] INFO  o.s.b.autoconfigure.h2.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:mysql://127.0.0.1:3306/admin-template?useUnicode=true&useSSL=false&characterEncoding=UTF-8&serverTimezone=UTC'
2022-06-17 14:24:18.149 [restartedMain] WARN  o.s.s.config.annotation.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/swagger-ui.html']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-06-17 14:24:18.150 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/swagger-ui.html']
2022-06-17 14:24:18.150 [restartedMain] WARN  o.s.s.config.annotation.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/doc.html']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-06-17 14:24:18.150 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/doc.html']
2022-06-17 14:24:18.150 [restartedMain] WARN  o.s.s.config.annotation.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/swagger-ui/*']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-06-17 14:24:18.150 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/swagger-ui/*']
2022-06-17 14:24:18.150 [restartedMain] WARN  o.s.s.config.annotation.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/swagger-resources/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-06-17 14:24:18.150 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/swagger-resources/**']
2022-06-17 14:24:18.150 [restartedMain] WARN  o.s.s.config.annotation.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/v2/api-docs']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-06-17 14:24:18.150 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/v2/api-docs']
2022-06-17 14:24:18.150 [restartedMain] WARN  o.s.s.config.annotation.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/v3/api-docs']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-06-17 14:24:18.150 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/v3/api-docs']
2022-06-17 14:24:18.150 [restartedMain] WARN  o.s.s.config.annotation.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/webjars/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-06-17 14:24:18.150 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/webjars/**']
2022-06-17 14:24:18.182 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@784259a4, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2a84910, org.springframework.security.web.context.SecurityContextPersistenceFilter@45d3fe0d, org.springframework.security.web.header.HeaderWriterFilter@65c01a6e, org.springframework.web.filter.CorsFilter@26891fe7, org.springframework.security.web.authentication.logout.LogoutFilter@3163efe5, com.example.filter.JwtAuthorizationFilter@43e597e7, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@71231408, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@53e33a97, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6e4b4507, org.springframework.security.web.session.SessionManagementFilter@7e07f60d, org.springframework.security.web.access.ExceptionTranslationFilter@5e6171d0, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@44f7330d]
2022-06-17 14:24:18.351 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2022-06-17 14:24:18.582 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-06-17 14:24:18.595 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2022-06-17 14:24:18.803 [restartedMain] INFO  com.example.SystemJavaApplication - Started SystemJavaApplication in 3.464 seconds (JVM running for 12.409)
2022-06-17 14:25:28.761 [Thread-4] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2022-06-17 14:25:28.769 [Thread-4] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2022-06-17 14:25:28.845 [restartedMain] INFO  com.example.SystemJavaApplication - Starting SystemJavaApplication using Java 11.0.12 on LAPTOP-4LBTC9AF with PID 33192 (D:\File\java\admin-template\java-template\target\classes started by wzh in D:\File\java\admin-template\java-template)
2022-06-17 14:25:28.845 [restartedMain] INFO  com.example.SystemJavaApplication - The following 1 profile is active: "dev"
2022-06-17 14:25:29.289 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-06-17 14:25:29.289 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.31] using APR version [1.7.0].
2022-06-17 14:25:29.289 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
2022-06-17 14:25:29.289 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
